user_id,liked_indices
Electro_Fan_4,"[19328, 106656, 57668, 38346, 18730, 57934, 140399, 173231, 19086, 19982, 93204, 141460, 74998, 125783, 56566, 18170, 38877, 126303]"
Electro_Fan_5,"[39072, 125987, 121959, 125643, 58156, 37548, 39278, 38739, 75860, 39541, 109976, 141337]"
User_Realiste_1,"[158976, 91645, 136420, 2653, 44295, 165064, 5897, 143496, 22700, 79407, 94927, 34481, 29653, 59670, 147997]"
User_Realiste_2,"[2912, 76546, 16899, 89796, 152549, 113574, 138438, 167368, 135497, 166153, 26924, 150416, 90384, 71868, 124919, 153783, 135963, 65084]"
User_Realiste_3,"[50817, 53059, 118692, 48869, 158217, 169194, 48267, 27788, 19945, 12270, 36945, 53810, 147986, 162324, 32855, 126360, 11678]"
User_Realiste_4,"[160224, 1730, 2690, 142114, 173287, 44362, 3628, 28303, 152112, 100786, 47477]"
User_Realiste_5,"[21345, 65283, 153706, 86122, 86060, 43754, 120558, 129010, 170966, 29463, 167416, 7166, 24895]"
User_Realiste_6,"[21505, 53889, 20099, 129765, 106536, 110153, 20040, 43468, 94604, 73613, 68526, 116046, 88658, 33497, 15156, 146743, 40089, 87419]"
User_Realiste_7,"[78049, 112578, 1443, 9189, 93317, 20553, 110986, 77776, 18162, 59731, 165493, 80762, 38493]"
User_Realiste_8,"[33025, 141187, 38407, 120074, 29964, 122637, 84367, 17060, 29353, 92842, 121265, 117190, 74070, 53724, 47200, 31345, 11380, 31097, 149498]"
User_Realiste_9,"[160865, 52162, 46209, 18114, 59333, 121094, 153127, 70664, 30883, 66832, 2193, 82452, 122741, 83480, 18939, 159710]"
User_Realiste_10,"[117507, 91913, 71721, 117963, 107181, 51758, 76239, 167952, 133880, 66520, 19447, 106712, 150619, 135837, 57055]"
User_Realiste_11,"[3554, 77250, 110692, 2182, 94791, 82494, 62377, 43376, 159409, 94163, 64148, 47767, 78393, 156698, 116830]"
User_Realiste_12,"[174112, 47555, 137604, 67909, 19302, 172804, 75199, 144459, 150219, 39373, 157774, 147536, 133746, 63221, 63487]"
User_Realiste_13,"[37538, 93083, 155547, 71788, 73264, 57136, 34257, 171956, 37204, 38363, 156665, 70011, 33853]"
User_Realiste_14,"[59917, 25101, 141340, 138270, 120739, 158119, 109872, 155191, 86711, 168381, 40019, 126936, 16858, 33377, 53100, 150640, 55026, 142451, 19701]"
User_Realiste_15,"[160476, 132997, 81351, 9160, 95628, 82640, 166036, 163835, 142812, 168765, 5406, 143839]"
User_Realiste_16,"[64832, 13153, 119169, 69025, 31459, 95041, 164263, 23739, 163790, 104978, 10036, 43700, 113240, 165081, 105179]"
User_Realiste_17,"[53633, 127492, 131846, 167944, 64942, 45363, 63421, 19263, 80069, 147657, 41946, 79835, 159461, 131688, 75498, 95596, 90095, 162038, 147574, 146684]"
User_Realiste_18,"[98688, 31138, 5220, 103980, 61468, 46894, 23442, 129203, 33716, 18741, 162488, 129721, 44700, 131902, 94494]"
User_Realiste_19,"[88932, 132197, 92804, 137380, 109288, 31720, 34826, 171141, 29005, 114190, 66745, 152028, 1149, 47518]"
User_Realiste_20,"[60800, 41473, 72725, 21912, 105370, 22556, 77214, 25007, 42423, 3776, 89288, 40158, 18912, 51698, 123123, 18423, 158968, 38654, 29695]"
New_User_1,[]
New_User_2,[]
